CountryName,code,GDP per capita (current US$) 2018,DR_inter
Australia,AUS,57354.9640455891,0.0004156331585261
Cambodia,KHM,1512.12670972847,0.0010200851099526
China,CHN,9976.67713725865,0.0004352101608589
Hong Kong,HKG,48543.4009905733,0.0005980433720951
Indonesia,IDN,3893.84642475571,0.0004739241414802
Japan,JPN,39159.4235633952,0.0003765396081339
Korea South,KOR,33422.9442100836,0.0004025614934682
Macau,MAC,87208.535912643,0.0005222834050187
Malaysia,MYS,11377.4550023015,0.0004579167413299
Mongolia,MNG,4134.98719823511,0.0010055017299011
New Zealand,NZL,42949.9305849512,0.0004267881758676
Papua New Guinea,PNG,2801.37399744404,0.0009970556859523
Philippines,PHL,3252.09232413346,0.0005190561638091
Singapore,SGP,66188.7793961798,0.000545027420771
Thailand,THA,7295.47561612095,0.0004348480543646
Vietnam,VNM,2566.59694958511,0.0006068257664614
Bangladesh,BGD,1698.35039428122,0.0011754196763999
India,IND,2005.86300452403,0.0004205798439986
Nepal,NPL,1038.65164702968,0.0012270698561733
Pakistan,PAK,1482.30566684338,0.0011998986234226
Sri Lanka,LKA,4080.56712469552,0.0009877902568431
Armenia,ARM,4220.49027671249,0.0014793351709792
Azerbaijan,AZE,4739.84171028393,0.0012699180807801
Belarus,BLR,6330.0752464187,0.0020681561755078
Bosnia and Herzegovina,BIH,6072.18462285304,0.0026739343956257
Bulgaria,BGR,9427.73043039881,0.0008719125731312
Croatia,HRV,15014.0850191716,0.0015189623912509
Czech Republic,CZE,23415.8436273041,0.0014371858900405
Hungary,HUN,16410.1872639683,0.0010060867722983
Kazakhstan,KAZ,9812.60140498928,0.0008729573006928
Macedonia,MKD,6088.97244500876,0.0012647461853415
Moldova,MDA,4233.74343674119,0.0020883036140798
Poland,POL,15468.4822194105,0.0005270983055316
Romania,ROU,12399.889335731,0.0007136327207722
Russia,RUS,11370.8134559314,0.0008901961974089
Serbia,SRB,7252.40185773992,0.0012220608814073
Slovakia,SVK,19406.3475337924,0.0016919436731774
Slovenia,SVN,26115.9133661854,0.001099686409743
Ukraine,UKR,3096.81740221352,0.0011142463424794
Denmark,DNK,61598.5367043936,0.0007170478727747
Estonia,EST,23170.7073775514,0.0015749337118463
Finland,FIN,50030.8773106501,0.0007537443339966
Iceland,ISL,72968.7042280499,0.0008304558495184
Latvia,LVA,17858.2799784486,0.0015184248903663
Lithuania,LTU,19176.1765182085,0.0013268701617124
Norway,NOR,81734.4655736102,0.0007796107597695
Sweden,SWE,54589.0603860606,0.0005981828795508
Austria,AUT,51478.2852619277,0.0007889199509116
Belgium,BEL,47583.0749405066,0.0005915249823706
France,FRA,41631.0907389044,0.0005560711492088
Germany,DEU,47810.5076706348,0.0006058232547452
Ireland,IRL,78621.2279310086,0.0005573956429173
Luxembourg,LUX,116654.26106674,0.0009163781501
Netherlands,NLD,53044.5324352253,0.0007447645038718
Switzerland,CHE,82818.1081617471,0.0008044973590737
United Kingdom,GBR,43043.2278164551,0.0004950989894421
Cyprus,CYP,28689.7067225792,0.0010090302381576
Greece,GRC,20324.3049917812,0.0007845967460856
Italy,ITA,34615.7568910987,0.0007018537651844
Portugal,PRT,23562.5545228191,0.0006193551595864
Spain,ESP,30389.3609902899,0.0008494463471522
Turkey,TUR,9455.59365384828,0.0007150098945367
Algeria,DZA,4153.73397805915,0.0012548027879551
Bahrain,BHR,23991.05667694,0.0012516957547642
Egypt,EGY,2537.1253654904,0.0009957556334536
Iran,IRN,5550.06095701484,0.001190364070143
Israel,ISR,41719.7254385703,0.0004283306345293
Jordan,JOR,4312.18011672108,0.0014984033629824
Kuwait,KWT,33994.3819171507,0.0010503570189323
Lebanon,LBN,8024.80327081387,0.0026844230933523
Libya,LBY,7877.12225061884,0.0010381873100241
Malta,MLT,30437.2215058962,0.0008745570376203
Morocco,MAR,3222.20063433213,0.0005934821603425
Oman,OMN,16521.1822816125,0.0012743533348733
Qatar,QAT,65908.0669010848,0.0012184112131973
Saudi Arabia,SAU,23338.9634580718,0.001039841881381
Tunisia,TUN,3438.78908914627,0.0016511687872178
United Arab Emirates,ARE,43839.3563491413,0.0010092886393242
Angola,AGO,3289.64666408633,0.001400465659742
Botswana,BWA,8279.60173877574,0.0010472202376114
Cote d'Ivoire,CIV,2314.05068144953,0.0019634974799797
Ghana,GHA,2202.31216442504,0.0017081690564304
Kenya,KEN,1707.98680529003,0.0024846319320474
Mauritius,MUS,11208.3438184474,0.0006936157983789
Mozambique,MOZ,503.318727177274,0.0017989837818994
Namibia,NAM,5495.42892533452,0.0012233947437399
Nigeria,NGA,2027.77797925505,0.0009624707788169
South Africa,ZAF,6374.02819575944,0.0007044277095098
Tanzania,TZA,1060.99461489421,0.0025693196293605
Uganda,UGA,770.452453254239,0.0029504363488617
Zambia,ZMB,1516.39066079862,0.0027361961123695
Zimbabwe,ZWE,1683.74057709465,0.0018244373002267
Canada,CAN,46313.1713712961,0.0004236833352437
Mexico,MEX,9686.51378326598,0.000721207697426
United States of America,USA,62996.4712852605,0.0004149129907677
Argentina,ARG,11633.4980086465,0.001199368051746
"Bahamas, The",BHS,33767.5033710196,0.0006609892427474
Bolivia,BOL,3548.59015508448,0.0011014464739833
Brazil,BRA,9001.23424863499,0.0008430990380278
Chile,CHL,15924.7942393064,0.0010805642306947
Colombia,COL,6716.91159778134,0.001128767592543
Dominican Republic,DOM,8050.63044036673,0.0013521282504048
Ecuador,ECU,6295.93539868079,0.000909953592646
Jamaica,JAM,5354.2368587703,0.000849281680427
Panama,PAN,15592.573678922,0.0009786113303587
Paraguay,PRY,5805.67561638869,0.0023408494147828
Peru,PER,6941.23584763012,0.0012610219500721
Trinidad and Tobago,TTO,17129.9130902577,0.00087381867021
Uruguay,URY,17277.9701105496,0.0017131878000121
